"In which country was Alice born in?";"SELECT name FROM Country WHERE out('capital').@rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Alice')"
"In which country was Bob born in?";"SELECT name FROM Country WHERE out('capital').@rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Bob')"
"In which country was Charlie born in?";"SELECT name FROM Country WHERE out('capital').@rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Charlie')"
"In which country was Diana born in?";"SELECT name FROM Country WHERE out('capital').@rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Diana')"
"In which country was Eve born in?";"SELECT name FROM Country WHERE out('capital').@rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Eve')"
"In which country was Frank born in?";"SELECT name FROM Country WHERE out('capital').@rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Frank')"
"In which city was Alice born in?";"SELECT name FROM City WHERE @rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Alice')"
"In which city was Bob born in?";"SELECT name FROM City WHERE @rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Bob')"
"In which city was Charlie born in?";"SELECT name FROM City WHERE @rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Charlie')"
"In which city was Diana born in?";"SELECT name FROM City WHERE @rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Diana')"
"In which city was Eve born in?";"SELECT name FROM City WHERE @rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Eve')"
"In which city was Frank born in?";"SELECT name FROM City WHERE @rid IN (SELECT out('birthPlace').@rid FROM Person WHERE name = 'Frank')"
"Which classes have edges to the Person class?";"SELECT expand(classes) FROM (SELECT classes FROM metadata:schema) WHERE out('contains').name = 'Person'"
"Who is Alice's spouse?";"SELECT name FROM Person WHERE @rid IN (SELECT in('spouse').@rid FROM Person WHERE name = 'Alice')"
"Who is Bob's spouse?";"SELECT name FROM Person WHERE @rid IN (SELECT in('spouse').@rid FROM Person WHERE name = 'Bob')"
"Who is Charlie's spouse?";"SELECT name FROM Person WHERE @rid IN (SELECT in('spouse').@rid FROM Person WHERE name = 'Diana')"
